AccountNumber,OrderNumber,SecurityType,SecurityName,Qty,Price,OrderDate
1001,2001,Option,AMZN Dec 2025 150C,286,230.47,2023-01-01
1019,2002,Mutual Fund,T. Rowe Price Blue Chip,295,342.57,2023-01-08
1002,2003,Option,MSFT Jun 2026 300C,106,177.51,2023-01-15
1012,2004,Option,AAPL Jan 2026 180C,293,94.42,2023-01-22
1006,2005,Mutual Fund,T. Rowe Price Blue Chip,376,491.28,2023-01-29
1004,2006,Mutual Fund,T. Rowe Price Blue Chip,457,422.69,2023-02-05
1011,2007,Option,AAPL Jan 2026 180C,490,432.99,2023-02-12
1017,2008,Equity,Tesla Inc.,462,140.12,2023-02-19
1006,2009,Option,JPM Feb 2026 140P,326,38.64,2023-02-26
1005,2010,Option,TSLA Mar 2025 250P,313,165.57,2023-03-05
1020,2011,Option,TSLA Mar 2025 250P,156,277.8,2023-03-12
1002,2012,Option,AAPL Jan 2026 180C,13,176.79,2023-03-19
1006,2013,Mutual Fund,Schwab Total Stock Market,44,417.38,2023-03-26
1011,2014,Option,AAPL Jan 2026 180C,201,150.34,2023-04-02
1016,2015,Equity,Amazon.com Inc.,58,483.32,2023-04-09
1016,2016,Mutual Fund,Fidelity Contrafund,26,239.49,2023-04-16
1001,2017,Equity,Apple Inc.,181,424.17,2023-04-23
1009,2018,Equity,JPMorgan Chase & Co.,229,113.3,2023-04-30
1006,2019,Equity,Tesla Inc.,167,217.45,2023-05-07
1016,2020,Equity,Amazon.com Inc.,486,355.77,2023-05-14
1003,2021,Mutual Fund,T. Rowe Price Blue Chip,55,86.41,2023-05-21
1020,2022,Mutual Fund,T. Rowe Price Blue Chip,382,83.72,2023-05-28
1004,2023,Equity,Apple Inc.,15,485.38,2023-06-04
1019,2024,Equity,Tesla Inc.,108,363.01,2023-06-11
1003,2025,Mutual Fund,Invesco Growth & Income,389,39.71,2023-06-18
1019,2026,Mutual Fund,T. Rowe Price Blue Chip,242,211.43,2023-06-25
1020,2027,Mutual Fund,Vanguard 500 Index,46,228.09,2023-07-02
1007,2028,Option,JPM Feb 2026 140P,289,377.14,2023-07-09
1020,2029,Option,TSLA Mar 2025 250P,358,140.41,2023-07-16
1009,2030,Option,MSFT Jun 2026 300C,311,108.48,2023-07-23
1001,2031,Equity,Apple Inc.,190,58.82,2023-07-30
1008,2032,Option,TSLA Mar 2025 250P,104,225.59,2023-08-06
1007,2033,Equity,Microsoft Corp.,108,350.48,2023-08-13
1018,2034,Equity,Amazon.com Inc.,197,47.93,2023-08-20
1008,2035,Option,JPM Feb 2026 140P,490,459.3,2023-08-27
1001,2036,Equity,Tesla Inc.,125,232.33,2023-09-03
1011,2037,Option,AAPL Jan 2026 180C,200,135.1,2023-09-10
1018,2038,Option,AMZN Dec 2025 150C,262,65.06,2023-09-17
1010,2039,Mutual Fund,Invesco Growth & Income,478,107.78,2023-09-24
1003,2040,Option,AMZN Dec 2025 150C,425,468.61,2023-10-01
1007,2041,Mutual Fund,Invesco Growth & Income,480,326.37,2023-10-08
1016,2042,Option,JPM Feb 2026 140P,170,268.01,2023-10-15
1016,2043,Option,MSFT Jun 2026 300C,265,335.41,2023-10-22
1020,2044,Mutual Fund,Invesco Growth & Income,332,229.12,2023-10-29
1017,2045,Mutual Fund,Schwab Total Stock Market,137,370.42,2023-11-05
1002,2046,Option,JPM Feb 2026 140P,27,42.9,2023-11-12
1001,2047,Equity,Tesla Inc.,290,291.7,2023-11-19
1016,2048,Mutual Fund,T. Rowe Price Blue Chip,499,96.15,2023-11-26
1012,2049,Equity,Amazon.com Inc.,232,77.68,2023-12-03
1005,2050,Equity,Microsoft Corp.,63,184.1,2023-12-10
1005,2051,Equity,Microsoft Corp.,67,64.06,2023-12-17
1009,2052,Mutual Fund,Invesco Growth & Income,332,65.2,2023-12-24
1009,2053,Equity,Apple Inc.,369,169.48,2023-12-31
1003,2054,Mutual Fund,Invesco Growth & Income,183,490.17,2024-01-07
1019,2055,Equity,Amazon.com Inc.,289,104.16,2024-01-14
1016,2056,Option,AMZN Dec 2025 150C,123,28.24,2024-01-21
1016,2057,Option,AMZN Dec 2025 150C,297,386.41,2024-01-28
1003,2058,Mutual Fund,Schwab Total Stock Market,440,407.32,2024-02-04
1020,2059,Option,AMZN Dec 2025 150C,351,186.23,2024-02-11
1001,2060,Option,MSFT Jun 2026 300C,160,243.04,2024-02-18
1020,2061,Equity,Microsoft Corp.,459,331.89,2024-02-25
1011,2062,Mutual Fund,Schwab Total Stock Market,136,43.07,2024-03-03
1017,2063,Equity,Apple Inc.,164,475.59,2024-03-10
1008,2064,Equity,Apple Inc.,499,445.61,2024-03-17
1004,2065,Equity,Apple Inc.,395,145.23,2024-03-24
1006,2066,Equity,Apple Inc.,483,27.35,2024-03-31
1008,2067,Equity,Tesla Inc.,282,468.05,2024-04-07
1020,2068,Equity,Apple Inc.,113,260.5,2024-04-14
1003,2069,Equity,Amazon.com Inc.,426,278.9,2024-04-21
1016,2070,Mutual Fund,Invesco Growth & Income,402,348.3,2024-04-28
1003,2071,Option,AAPL Jan 2026 180C,308,315.61,2024-05-05
1018,2072,Equity,Tesla Inc.,255,473.07,2024-05-12
1014,2073,Equity,Tesla Inc.,185,473.24,2024-05-19
1018,2074,Equity,Apple Inc.,48,436.26,2024-05-26
1002,2075,Equity,JPMorgan Chase & Co.,486,325.47,2024-06-02
1003,2076,Equity,Apple Inc.,179,404.46,2024-06-09
1016,2077,Equity,Tesla Inc.,256,345.04,2024-06-16
1009,2078,Option,TSLA Mar 2025 250P,35,295.22,2024-06-23
1004,2079,Option,AMZN Dec 2025 150C,364,81.68,2024-06-30
1001,2080,Equity,Tesla Inc.,315,409.38,2024-07-07
1004,2081,Option,AAPL Jan 2026 180C,418,413.91,2024-07-14
1001,2082,Mutual Fund,Schwab Total Stock Market,417,320.45,2024-07-21
1014,2083,Equity,Apple Inc.,22,413.8,2024-07-28
1016,2084,Mutual Fund,Vanguard 500 Index,325,332.71,2024-08-04
1020,2085,Mutual Fund,Fidelity Contrafund,400,119.21,2024-08-11
1008,2086,Equity,Amazon.com Inc.,322,151.5,2024-08-18
1007,2087,Option,AMZN Dec 2025 150C,45,123.0,2024-08-25
1003,2088,Mutual Fund,Fidelity Contrafund,182,201.08,2024-09-01
1017,2089,Equity,Tesla Inc.,29,38.7,2024-09-08
1001,2090,Mutual Fund,Vanguard 500 Index,330,316.76,2024-09-15
1016,2091,Mutual Fund,Invesco Growth & Income,273,181.55,2024-09-22
1012,2092,Mutual Fund,Vanguard 500 Index,409,334.75,2024-09-29
1019,2093,Mutual Fund,Vanguard 500 Index,151,204.99,2024-10-06
1014,2094,Option,MSFT Jun 2026 300C,469,347.17,2024-10-13
1006,2095,Mutual Fund,Vanguard 500 Index,380,183.5,2024-10-20
1006,2096,Mutual Fund,Fidelity Contrafund,480,145.13,2024-10-27
1013,2097,Mutual Fund,Fidelity Contrafund,152,258.1,2024-11-03
1019,2098,Option,AMZN Dec 2025 150C,101,352.59,2024-11-10
1008,2099,Mutual Fund,Invesco Growth & Income,363,187.2,2024-11-17
1002,2100,Mutual Fund,Vanguard 500 Index,331,469.59,2024-11-24
